Slug,Admin URL,Title,Lead organisations,Supporting organisations,Document type,Content sub-type,State,History-mode applied,New lead organisations,New supporting organisations
/government/publications/register-to-vote-if-you-havent-got-a-fixed-or-permanent-address,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1581013,Register to vote if you haven't got a fixed or permanent address,"Department for Levelling Up, Housing and Communities  | The Electoral Commission",,Publication,Form,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/the-electoral-commission",/government/organisations/department-for-levelling-up-housing-and-communities
/government/collections/local-authority-capital-expenditure-receipts-and-financing,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1573664,"Local authority capital expenditure, receipts and financing","Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/statistical-data-sets/live-tables-on-planning-application-statistics,http://whitehall-admin.publishing.service.gov.uk/government/admin/statistical-data-sets/1574091,Live tables on planning application statistics,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Statistical Data Set,N/A,force published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/housing-finance-and-household-expenditure-notes-and-definitions,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1574604,Housing finance and household expenditure: notes and definitions,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/register-to-vote-anonymously,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1581014,Register to vote anonymously,"Department for Levelling Up, Housing and Communities  | The Electoral Commission",,Publication,Form,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/the-electoral-commission",/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/register-to-vote-if-youre-in-the-armed-forces,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1581018,Register to vote if you're in the armed forces,"Department for Levelling Up, Housing and Communities  | The Electoral Commission",,Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/collections/local-government-pensions,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1574694,Local government pensions,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/the-electoral-commission","/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/third-party-certification-schemes-for-domestic-electrical-work,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1574725,Third party certification schemes for domestic electrical work,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/scottish-green-freeports-decision-making-note,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1419716,Scottish Green Freeports decision-making note,"Department for Levelling Up, Housing and Communities  | The Scottish Government",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/investment-zones-in-scotland-policy-model-place-selection-methodology,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1476081,Investment Zones in Scotland: Policy model & place selection methodology,"Department for Levelling Up, Housing and Communities  | The Scottish Government",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/publish-your-developer-contributions-data,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1575287,Publish your developer contributions data,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,draft,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/plan-making,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1575309,Plan-making,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/recognised-providers-organisations-who-can-help-uk-citizens-become-sponsors,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1575408,Recognised Providers: Organisations who can help UK citizens become sponsors,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/safeguarding-homes-for-ukraine,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1575495,Safeguarding: Homes for Ukraine ,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/get-urgent-help-and-report-a-crime-homes-for-ukraine,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1575496,Get urgent help and report a crime: Homes for Ukraine,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/statistical-data-sets/live-tables-on-local-government-finance,http://whitehall-admin.publishing.service.gov.uk/government/admin/statistical-data-sets/1576001,Live tables on local government finance,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Statistical Data Set,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/flood-risk-and-coastal-change,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1576094,Flood risk and coastal change,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/collections/council-tax-statistics,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1576134,Council Tax statistics,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/collections/uk-government-support-for-chagossians,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1576279,UK government support for Chagossians,"Foreign, Commonwealth & Development Office","Home Office | Department for Levelling Up, Housing and Communities ",Document Collection,N/A,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/foreign-commonwealth-development-office,","/government/organisations/home-office,/government/organisations/department-for-levelling-up-housing-and-communities"
/guidance/rents-lettings-and-tenancies-data-notes-and-definitions-for-local-authorities-and-data-analysts,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1576402,"Rents, lettings and tenancies data: notes and definitions for local authorities and data analysts","Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/scottish-green-freeports-set-up-phase-guidance,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1507628,Scottish Green Freeports: set up phase guidance,"Department for Levelling Up, Housing and Communities  | The Scottish Government",,Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/the-scottish-government",/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/freeport-programme-in-wales-decision-making-note,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1467131,Freeport Programme in Wales decision-making note,"Department for Levelling Up, Housing and Communities  | Welsh Government",,Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/welsh-government",/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/infrastructure-for-electronic-communications-approved-document-r,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1474216,Infrastructure for electronic communications: Approved Document R,"Department for Science, Innovation and Technology | Department for Levelling Up, Housing and Communities ","Department for Digital, Culture, Media & Sport",Publication,Statutory guidance,force published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-science-innovation-and-technology","/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/department-for-digital-culture-media-sport"
/government/collections/local-authority-revenue-expenditure-and-financing,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1576439,Local authority revenue expenditure and financing,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/collections/planning-applications-called-in-decisions-and-recovered-appeals,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1576453,Planning applications: called-in decisions and recovered appeals,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/collections/building-safety-remediation,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1576702,Building Safety Remediation,"Department for Levelling Up, Housing and Communities ",,Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/collections/tenant-fees-act,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1576905,Tenant Fees Act,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/ukraine-sponsorship-scheme-visa-data-by-country-upper-and-lower-tier-local-authority,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1576921,"Ukraine Sponsorship Scheme: Visa data by country, upper and lower tier local authority","Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,force published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/guidance-on-devolution,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1577013,Guidance on devolution,"Department for Levelling Up, Housing and Communities  | Office of the Secretary of State for Scotland | Office of the Secretary of State for Wales | Northern Ireland Office",Cabinet Office,Detailed Guide,N/A,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/office-of-the-secretary-of-state-for-scotland,/government/organisations/office-of-the-secretary-of-state-for-wales,/government/organisations/northern-ireland-office","/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/cabinet-office"
/guidance/staying-safe-online-and-in-the-uk-homes-for-ukraine,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1577019,Staying safe online and in the UK: Homes for Ukraine,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/adult-health-homes-for-ukraine,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1577022,Adult Health: Homes for Ukraine,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/sources-of-support-for-sponsors-hosting-people-from-ukraine,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1577240,Sources of support for sponsors hosting people from Ukraine,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/environmental-impact-assessment,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1577308,Environmental Impact Assessment,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/hazardous-substances,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1577313,Hazardous substances,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/damp-and-mould-understanding-and-addressing-the-health-risks-for-rented-housing-providers,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1485049,Damp and mould: understanding and addressing the health risks for rented housing providers,Department of Health and Social Care,"UK Health Security Agency | Department for Levelling Up, Housing and Communities ",Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-of-health-and-social-care","/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/uk-health-security-agency"
/government/statistical-data-sets/live-tables-on-affordable-housing-supply,http://whitehall-admin.publishing.service.gov.uk/government/admin/statistical-data-sets/1577657,Live tables on affordable housing supply,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Statistical Data Set,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/statistical-data-sets/live-tables-on-rents-lettings-and-tenancies,http://whitehall-admin.publishing.service.gov.uk/government/admin/statistical-data-sets/1577746,"Live tables on rents, lettings and tenancies","Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Statistical Data Set,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/statistical-data-sets/local-authority-housing-statistics-data-returns-for-2022-to-2023,http://whitehall-admin.publishing.service.gov.uk/government/admin/statistical-data-sets/1577750,Local Authority Housing Statistics data returns for 2022 to 2023,"Department for Levelling Up, Housing and Communities ",,Statistical Data Set,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/statistical-data-sets/local-authority-housing-statistics-data-returns-for-2021-to-2022,http://whitehall-admin.publishing.service.gov.uk/government/admin/statistical-data-sets/1577756,Local Authority Housing Statistics data returns for 2021 to 2022,"Department for Levelling Up, Housing and Communities ",,Statistical Data Set,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/health-and-wellbeing,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1577762,Healthy and safe communities,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/statistical-data-sets/live-tables-on-dwelling-stock-including-vacants,http://whitehall-admin.publishing.service.gov.uk/government/admin/statistical-data-sets/1577765,Live tables on dwelling stock (including vacants),"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Statistical Data Set,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/discharging-people-at-risk-of-or-experiencing-homelessness,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1523536,Discharging people at risk of or experiencing homelessness,"Department of Health and Social Care | Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-of-health-and-social-care",/government/organisations/department-for-levelling-up-housing-and-communities
/government/statistical-data-sets/live-tables-on-house-building,http://whitehall-admin.publishing.service.gov.uk/government/admin/statistical-data-sets/1578279,Live tables on housing supply: indicators of new supply,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Statistical Data Set,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/collections/house-building-statistics,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1578295,Housing supply: indicators of new supply statistics,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/uk-shared-prosperity-fund-subsidy-control-7,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1578379,UK Shared Prosperity Fund: subsidy control (7),"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/competent-person-scheme-current-schemes-and-how-schemes-are-authorised,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1578525,Competent person scheme - current schemes and how schemes are authorised,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/collections/intervention-at-thurrock-council,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1578571,Intervention at Thurrock Council,"Department for Levelling Up, Housing and Communities ",,Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/collections/homes-for-ukraine-council-guides,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1578837,Homes for Ukraine: council guides,"Department for Levelling Up, Housing and Communities ",,Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/building-safety-leaseholder-protections-guidance-for-leaseholders,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1578959,Building safety leaseholder protections: guidance for leaseholders,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/statistical-data-sets/local-authority-housing-statistics-open-data,http://whitehall-admin.publishing.service.gov.uk/government/admin/statistical-data-sets/1579807,Local Authority Housing Statistics open data,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Statistical Data Set,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/homes-for-ukraine-education-and-childcare-funding,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1462281,Homes for Ukraine: education and childcare funding,Education and Skills Funding Agency,"Department for Levelling Up, Housing and Communities ",Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/education-and-skills-funding-agency",/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/planning-guidance-letters-to-chief-planning-officers,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1580361,Planning guidance: letters to chief planning officers,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/learn-to-speak-read-and-write-english-homes-for-ukraine,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1580503,"Learn to speak, read and write English: Homes for Ukraine","Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/freeports,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1580621,Freeports,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/collections/proxy-voting-application-forms,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1580898,Proxy voting application forms,"Department for Levelling Up, Housing and Communities  | The Electoral Commission",,Document Collection,N/A,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/the-electoral-commission",/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/moving-to-the-uk-and-british-citizenship-guidance-for-chagossians,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1449337,Moving to the UK and British citizenship: guidance for Chagossians,"Foreign, Commonwealth & Development Office","Department for Education | Department for Work and Pensions | Department of Health and Social Care | Home Office | HM Revenue & Customs | Department for Levelling Up, Housing and Communities ",Publication,Guidance,published,no,/government/organisations/foreign-commonwealth-development-office,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/department-for-education,/government/organisations/department-for-work-pensions,/government/organisations/department-of-health-and-social-care,/government/organisations/home-office,/government/organisations/hm-revenue-customs,/government/organisations/ministry-of-housing-communities-local-government"
/government/publications/supporting-public-service-transformation-cost-benefit-analysis-guidance-for-local-partnerships,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/318521,Supporting public service transformation: cost benefit analysis guidance for local partnerships,HM Treasury | Cabinet Office | Department for Work and Pensions | Department for Business and Trade,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Department of Health and Social Care | Ministry of Justice | Department for Business, Energy & Industrial Strategy | Department for Levelling Up, Housing and Communities",Publication,Guidance,published,no,"/government/organisations/hm-treasury,/government/organisations/cabinet-office,/government/organisations/department-for-work-pensions,/government/organisations/department-for-business-and-trade","/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021,/government/organisations/department-of-health-and-social-care,/government/organisations/ministry-of-justice,/government/organisations/department-for-business-energy-and-industrial-strategy,"
/government/publications/mobile-homes-act-2013-new-licensing-enforcement-tools-a-guide-for-park-home-site-owners,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1247071,Mobile Homes Act 2013: new licensing enforcement tools - a guide for park home site owners,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/mobile-homes-act-2013-advice-to-local-authorities-on-the-new-regime-for-applications-for-the-grant-or-transfer-of-a-site-licence,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1247193,Mobile Homes Act 2013: advice to local authorities on the new regime for applications for the grant or transfer of a site licence,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/collections/english-housing-survey,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1580940,English Housing Survey,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/mobile-homes-act-2013-a-best-practice-guide-for-local-authorities-on-enforcement-of-new-site-licensing-regime,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1253036,Mobile Homes Act 2013: a best practice guide for local authorities on enforcement of new site licensing regime,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/building-safety-programme-privacy-note-about-data-collection,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1299143,Building Safety Programme: privacy note about data collection,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/european-regional-development-fund-funding-agreements,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1307050,European Regional Development Fund: funding agreements,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/how-to-lease,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1340457,How to lease,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/collections/register-to-vote-paper-forms,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1580994,Register to vote (paper forms),"Department for Levelling Up, Housing and Communities ",,Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/obtaining-and-using-tenancy-deposit-information,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1341993,Obtaining and using tenancy deposit information,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/new-burdens-doctrine-guidance-for-government-departments,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1353885,New burdens doctrine: guidance for government departments,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/european-regional-development-fund-privacy-notice,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1428181,European Regional Development Fund: privacy notice,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
