"What we're doing",Policy areas,Lead org,Other orgs,Ministers,URL for info on current policies
Increasing the number of prisoners doing meaningful work for real wages and ensure greater reparations to victims,Law and the justice system; Prison and probation,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally; Crispin Blunt; ,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Incentivising Work Programme providers to give employment support to unemployed offenders,Law and the justice system; Prisons and probation; Employment,MOJ,DWP,Kenneth Clarke; Nick Herbert; Lord McNally; Crispin Blunt; ,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Conducting a full examination of sentencing policy,Law and the justice system,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Ensuring historical convictions for consensual gay sex with over-16s will be treated as spent,Law and the justice system; Social equality,MOJ,Home Office,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Exploring reform of out-of-court disposals,Law and the justice system,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Exploring the use of Neighbourhood Justice Panels ,Law and the justice system; Community and society; Big society,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Reforming the Criminal Justice System to develop a more integrated and streamlined system,Law and the justice system,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Reforming the Legal Aid System ,Law and the justice system,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Reforming court processes and the courts estate,Law and the justice system,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
"Making family court services accessible, transparent and planned around the needs of the most vulnerable",Law and the justice system; Children and young people,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Promoting wider use of alternative dispute resolution in the civil courts,Law and the justice system,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Providing more protection for people against aggressive bailiffs,"Law and the justice system; Freedom, rights and citizenship",MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Using proceeds from the Victim Surcharge to fund rape crisis centres,Law and the justice system; Social equality,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Acting on Lord Justice Jackson's recommendations into the funding and costs of civil litigation,Law and the justice system,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Extending the simplified road traffic accident claims procedure ,Law and the justice system; Transport,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
"Delivering a simpler, rationalised fees structure in HM Courts and Tribunals Service",Law and the justice system,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Increasing the transparency of court results and the effectiveness of sentences,Law and the justice system,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Reversing the erosion of civil liberties,"Freedom, rights and citizenship; Regulation reform; Law and the justice system",MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Reforming libel laws to protect freedom of speech,"Freedom, rights and citizenship; Regulation reform; Law and the justice system",MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Repealing unnecessary laws,"Freedom, rights and citizenship; Government efficiency and transparency; Regulation reform",MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Extending coverage of the Freedom of Information Act to cover more organisations,"Freedom, rights and citizenship; Government efficiency and transparency",MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Providing people with greater protection to prevent crime and to defend themselves,Crime and policing; Law and the justice system,MOJ,Home Office,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Publishing a Green Paper on the use of intelligence and sensitive material in judicial proceeding,"Law and the justice system; Freedom, rights and citizenship; National security and intelligence",MOJ,Home Office,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Inviting private and voluntary organisations to provide legal services,Law and the justice system,MOJ,,Kenneth Clarke; Nick Herbert; Lord McNally,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
Restructuring the National Offender Management Service,Law and the justice system; Prisons and probation,MOJ,,Kenneth Clarke; Lord McNally; Crispin Blunt; ,http://www.justice.gov.uk/about/moj/what-we-do/our-responsibilities.htm
