content_id,publishing_app,title,url
087e23e3-17a4-4806-ba15-d4228f13dd07,whitehall,Crynodeb o Fynegai Prisiau Tai y DU: Rhagfyr 2016,https://www.gov.uk/government/statistics/uk-house-price-index-summary-december-2016/2213632
c4a1eeb0-1fc9-4455-9ed3-0fc93240f5de,whitehall,UK House Price Index summary: April 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-april-2017/uk-house-price-index-summary-april-2017
f4684655-2eab-4929-a2b2-b32ecaf95b91,whitehall,UK House Price Index Scotland: May 2017,https://www.gov.uk/government/statistics/uk-house-price-index-scotland-may-2017/uk-house-price-index-scotland-may-2017
6a951dd2-b185-4e45-9bc1-9c170dd419db,whitehall,UK House Price Index summary: June 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-june-2017/uk-house-price-index-summary-june-2017
162f3847-cfd0-4b2d-9689-781d015a1883,whitehall,UK House Price Index summary: February 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-february-2017/uk-house-price-index-summary-february-2017
9575d934-6b97-4859-8575-57c4ca43d73c,whitehall,Crynodeb o Fynegai Prisiau Tai y DU: Ionawr 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-january-2017/2213852
c444c51d-2b5d-4f7f-9a1c-688cf45e1103,whitehall,Crynodeb o Fynegai Prisiau Tai y DU: Ebrill 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-april-2017/2215101
39af3cf9-518b-47a5-9bff-caa13b783d87,whitehall,Crynodeb o Fynegai Prisiau Tai y DU: Mehefin 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-june-2017/2210984
1cffbed3-d1cd-4782-88e1-4399cc27c7bc,whitehall,Crynodeb o Fynegai Prisiau Tai y DU: Chwefror 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-february-2017/2213857
27ef7256-548d-4b6e-a888-6953c5f6b939,whitehall,UK House Price Index summary: November 2017,https://www.gov.uk/government/statistics/uk-house-price-index-summary-november-2017/uk-house-price-index-summary-november-2017
77a5b664-0cf1-4a61-90e6-05e014de48ca,whitehall,UK House Price Index summary: April 2018,https://www.gov.uk/government/statistics/uk-house-price-index-summary-april-2018/uk-house-price-index-summary-april-2018
7626a980-36da-4c39-a427-8488a32de378,whitehall,HMRC monthly performance update: December 2020,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-december-2020/hmrc-monthly-performance-update-december-2020
7972867e-c213-4802-bbcb-e37993ac4cde,whitehall,HMRC monthly performance update: January 2021,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-january-2021/hmrc-monthly-performance-update-january-2021
e2f4ea64-0f5d-4248-b292-351ab072fa77,whitehall,UK House Price Index England: April 2018,https://www.gov.uk/government/statistics/uk-house-price-index-england-april-2018/uk-house-price-index-england-april-2018
6c5028a2-c1f2-4973-b3c3-01a2854a56c7,whitehall,UK House Price Index England: November 2017,https://www.gov.uk/government/statistics/uk-house-price-index-england-november-2017/uk-house-price-index-england-november-2017
caf22b61-b057-41ab-aa81-474ebec6d8cb,whitehall,UK House Price Index England: December 2017,https://www.gov.uk/government/statistics/uk-house-price-index-england-december-2017/uk-house-price-index-england-december-2017
0b99ee87-8828-459c-9180-6ef6800dd219,whitehall,UK House Price Index Scotland: June 2017,https://www.gov.uk/government/statistics/uk-house-price-index-scotland-june-2017/uk-house-price-index-scotland-june-2017
d8589b7d-ed30-47c6-b0e6-b6181af6602b,whitehall,UK House Price Index Scotland: March 2017,https://www.gov.uk/government/statistics/uk-house-price-index-scotland-march-2017/uk-house-price-index-scotland-march-2017
8b7f5eae-e34c-4a9e-bb97-a7d8dfa5d8c6,whitehall,UK House Price Index Wales: March 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-march-2017/uk-house-price-index-wales-march-2017
e41a8a83-7c80-4e69-9f0f-7a85daeb186d,whitehall,UK House Price Index Wales: May 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-may-2017/uk-house-price-index-wales-may-2017
69080606-2b5a-4e9d-bdac-97b9ed0814ee,whitehall,UK House Price Index Wales: October 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-october-2017/uk-house-price-index-wales-october-2017
45336a5c-a1da-47cc-8770-090f3a94faca,whitehall,UK House Price Index Scotland: October 2017,https://www.gov.uk/government/statistics/uk-house-price-index-scotland-october-2017/uk-house-price-index-scotland-october-2017
8ba6d7ea-9888-45ad-811d-19b3f3aab126,whitehall,UK House Price Index Wales: February 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-february-2017/uk-house-price-index-wales-february-2017
b1786cc5-60d6-45ea-b490-67c0d2ac61d9,whitehall,UK House Price Index Scotland: December 2017,https://www.gov.uk/government/statistics/uk-house-price-index-scotland-december-2017/uk-house-price-index-scotland-december-2017
9483269c-71b0-4603-b394-8075cf923b2b,whitehall,Mynegai Prisiau Tai y DU: adroddiad Cymru: Chwefror 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-february-2017/2553752
9ad556b3-89d4-40ef-921f-930cb2d60610,whitehall,UK House Price Index Wales: April 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-april-2017/uk-house-price-index-wales-april-2017
683123dd-8a70-4ab2-ad1d-1a586f999834,whitehall,Mynegai Prisiau Tai y DU: adroddiad Cymru: Hydref 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-october-2017/2553791
2a08282c-3fe8-4e5d-bb72-f926a08377ac,whitehall,Mynegai Prisiau Tai y DU: adroddiad Cymru: Mawrth 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-march-2017/2553754
ef8ed865-c4f6-4aff-bc83-f0b7d57397ec,whitehall,UK House Price Index Scotland: August 2017,https://www.gov.uk/government/statistics/uk-house-price-index-scotland-august-2017/uk-house-price-index-scotland-august-2017
5369fa70-4165-4591-a003-50be520c24d0,whitehall,UK House Price Index Scotland: September 2017,https://www.gov.uk/government/statistics/uk-house-price-index-scotland-september-2017/uk-house-price-index-scotland-september-2017
bb4a3b65-4d07-4fe9-85cd-b060955a9b1c,whitehall,UK House Price Index Wales: December 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-december-2017/uk-house-price-index-wales-december-2017
f819d23b-8af5-4f09-addc-d0dc90fdca74,whitehall,Mynegai Prisiau Tai y DU: adroddiad Cymru: Ebrill 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-april-2017/2553773
95692ea7-ea6b-4675-9f82-e118571b318d,whitehall,Mynegai Prisiau Tai y DU: adroddiad Cymru: Rhagfyr 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-december-2017/2553793
73682832-d0d5-4eb8-850d-8d1f410d8b46,whitehall,Mynegai Prisiau Tai y DU: adroddiad Cymru: Medi 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-september-2017/2553789
84c2f5de-89c0-43d9-abc5-ece483071f08,whitehall,UK House Price Index Scotland: January 2017,https://www.gov.uk/government/statistics/uk-house-price-index-scotland-january-2017/uk-house-price-index-scotland-january-2017
f1772b86-88c7-4818-b3e8-71790fa3a546,whitehall,UK House Price Index Scotland: December 2016,https://www.gov.uk/government/statistics/uk-house-price-index-scotland-december-2016/uk-house-price-index-scotland-december-2016
