_id,title,content_id,contact
/government/collections/phe-yorkshire-and-humber-advice-support-and-services,"PHE Yorkshire and Humber: advice, support and services",fe37f0ca-0cb9-4ca1-baa5-ddadeb308f67,"<h3>
<abbr title=""Public Health England"">PHE</abbr> Yorkshire and the Humber</h3>"
/government/collections/primary-care-guidance-diagnosing-and-managing-infections,Primary care guidance: diagnosing and managing infections,5fe9a1f8-7631-11e4-a3cb-005056011aef,<h3>Public Health England Primary Care and Interventions Unit</h3>
/government/collections/private-rental-market-statistics,Valuation Office Agency: private rental market statistics,6afdca06-10d9-4a48-85c2-f8e5bb90fd94,<h3>The VOA statistics team</h3>
/government/collections/public-health-england-data-release-register,Public Health England data release register,a9f8f7b7-d64b-4ccf-a1fa-24933bc9d860,<h3>Office for Data Release</h3>
/government/collections/public-register-of-rail-passenger-franchise-agreements,Public register of rail passenger franchise agreements,5eb60661-7631-11e4-a3cb-005056011aef,<h3>Publication scheme franchise agreements</h3>
/government/collections/rail-vehicle-accessibility-regulations-rvar-exemption-orders,Rail Vehicle Accessibility Regulations exemption orders,5eb606b2-7631-11e4-a3cb-005056011aef,<h3>Rail Vehicle Accessibility Team</h3>
/government/collections/rare-and-imported-pathogens-laboratory-ripl,Rare and imported pathogens laboratory (RIPL),5fe35817-7631-11e4-a3cb-005056011aef,"<h3>Rare and imported pathogens laboratory (<abbr title=""Rare and imported pathogens laboratory"">RIPL</abbr>)</h3>"
/government/collections/river-medway-boat-registration-and-application-forms,Upper Medway Navigation: boat registration and application forms,5f4479a4-7631-11e4-a3cb-005056011aef,<h3>Environment Agency boat registration team</h3>
/government/collections/river-thames-boat-registration-and-application-forms,River Thames: boat registration and application forms,5f4478be-7631-11e4-a3cb-005056011aef,<h3>Environment Agency boat registration team</h3>
/government/collections/rural-land-register,Rural Land Register,5f63c94b-7631-11e4-a3cb-005056011aef,"<h3>Contact <abbr title=""Rural Payments Agency"">RPA</abbr>
</h3>"
/government/collections/rural-payments-agency-customer-registration,Rural Payments Agency: Customer Registration,5f64d8ab-7631-11e4-a3cb-005056011aef,"<h3>Contact <abbr title=""Rural Payments Agency"">RPA</abbr>
</h3>"
/government/collections/schools-financial-efficiency-case-studies,School resource management: case studies,adb9bcc4-6757-43ef-bb24-38f5c0d7b232,<h3>EFA questions</h3>
/government/collections/single-payment-scheme,Single Payment Scheme,5f62b178-7631-11e4-a3cb-005056011aef,"<h3>Contact <abbr title=""Rural Payments Agency"">RPA</abbr>
</h3>"
/government/collections/statistics-outcome-based-success-measures,Statistics: outcome based success measures,502e4d21-122a-4fd7-a46b-2f8bbeda945c,<h3>Further education outcomes statistics</h3>
/government/collections/strengthening-disabled-peoples-user-led-organisations,Strengthening disabled people’s user led organisations,5f9c75b2-7631-11e4-a3cb-005056011aef,<h3>Making a difference</h3>
/government/collections/toxoplasma-reference-laboratory-trl,Toxoplasma reference laboratory (TRL),5fe584f4-7631-11e4-a3cb-005056011aef,"<h3>Toxoplasma reference laboratory (<abbr title=""Toxoplasma reference laboratory"">TRL</abbr>)</h3>"
/government/collections/traffic-advisory-leaflets,Traffic advisory leaflets,5eb6083f-7631-11e4-a3cb-005056011aef,"<h3>Join the <abbr title=""Traffic advisory leaflet"">TAL</abbr> publications mailing list</h3>"
/government/collections/traffic-commissioner-applications-and-decisions,Traffic Commissioner HGV Applications and Decisions,5eb85bb8-7631-11e4-a3cb-005056011aef,<h3>Central Licensing Office</h3>
/government/collections/traffic-commissioner-notices-and-proceedings,Traffic Commissioner PSV Notices and Proceedings,5eb859eb-7631-11e4-a3cb-005056011aef,<h3>Central Licensing Office</h3>
/government/collections/transxchange,TransXChange,5ef7544d-7631-11e4-a3cb-005056011aef,<h3>All TransXChange enquiries</h3>
/government/collections/uk-national-reference-laboratory-for-food-microbiology,UK national reference laboratory for food microbiology,5fe93ebd-7631-11e4-a3cb-005056011aef,<h3>National reference laboratory </h3>
/government/collections/valuation-office-agency-council-tax-statistics,Valuation Office Agency: Council Tax statistics,e9b6c4f9-2549-4c1b-88e6-f24dde36f8f0,<h3>The VOA statistics team</h3>
/government/collections/valuation-office-agency-non-domestic-rating-statistics,Valuation Office Agency: non-domestic rating statistics,1bc6ddf7-57d6-4a17-9520-a4dfb7cad7a9,<h3>The VOA statistics team</h3>
/government/collections/virus-reference-department-vrd,Virus reference department (VRD),5fe35733-7631-11e4-a3cb-005056011aef,"<h3>Virus Reference Department (<abbr title=""Virus reference department"">VRD</abbr>)</h3>"
/government/consultations/fulfilling-potential-a-discussion-about-disabled-people-and-the-government,Fulfilling Potential: a discussion about disabled people and the government,5f64092b-7631-11e4-a3cb-005056011aef,<h3>Office for Disability Issues</h3>
/government/consultations/hs2-phase-2b-western-leg-design-refinement-consultation,HS2 Phase 2b Western Leg Design Refinement Consultation,2200b658-19da-4622-813d-64b50ba0ca73,<h3>HS2 helpdesk</h3>
