attachment_data_id,attachment_content_id,asset_manager_id
798913,fa72c22d-36f0-4019-993a-87f19064dd52,5cc86622e5274a1acd4cfccb
798927,d4caefce-cfa4-4a4f-8bab-8a944ca9615d,5cc86a1a40f0b64c24ecfade
798927,d4caefce-cfa4-4a4f-8bab-8a944ca9615d,5cc86a1ae5274a1acd4cfccc
805591,0de6acf1-9a29-445b-8697-ec15cc99520a,5ceffda7e5274a0d4a227778
805591,0de6acf1-9a29-445b-8697-ec15cc99520a,5ceffda7e5274a0d4f8b2ede
805681,23ef7a48-5122-444a-bd08-a99223b821d0,5cf0f216e5274a0d4969ef25
805681,23ef7a48-5122-444a-bd08-a99223b821d0,5cf0f216e5274a5ebef1f6b9
690456,a6ac975a-ce39-4dc2-9fe3-d2ed9f7f312b,5aa93fc940f0b66b5fb4ba95
690456,a6ac975a-ce39-4dc2-9fe3-d2ed9f7f312b,5aa93fc9ed915d4f563b7522
827854,4749b5df-3a7f-4c57-8f34-bbdc35454617,5d677eb440f0b607c23ad88a
827857,e186ff87-a718-4600-8355-e2d4f7b9683c,5d67807640f0b607c1d0b582
182366,02688c2a-3c09-47a1-b6cf-8dce2aff3c75,5a7ad8f4e5274a34770e7857
182366,02688c2a-3c09-47a1-b6cf-8dce2aff3c75,5a7ad8f4e5274a319e77b201
182367,8285f0f5-1794-41d0-bb11-51c00f1ee5d2,5a7a5b99e5274a34770e6184
182367,8285f0f5-1794-41d0-bb11-51c00f1ee5d2,5a7a5b97ed915d670dd7d90c
182368,b48bc65f-4cc5-4ad7-84b4-af0ff4a1bdad,5a7a04b540f0b66a2fbff4cc
182368,b48bc65f-4cc5-4ad7-84b4-af0ff4a1bdad,5a7a04b3e5274a34770e3a98
182376,b0c5ed9b-1d1e-4da6-b673-bbadcea2877c,5a7adf6bed915d670dd7f2bc
182376,b0c5ed9b-1d1e-4da6-b673-bbadcea2877c,5a7adf6a40f0b66eab99d3cc
182377,df138b6d-6d88-4036-b773-f571e45cfddd,5a7aa7f0ed915d670dd7daaa
182377,df138b6d-6d88-4036-b773-f571e45cfddd,5a7aa7ed40f0b66eab99bba6
182378,a785be99-46e1-4a56-9822-cdc766f4e588,5a7a4975e5274a319e77930a
182378,a785be99-46e1-4a56-9822-cdc766f4e588,5a7a497540f0b66a2fc013f4
182379,38f11216-add7-471f-a299-2a7708260c13,5a7b4bc5ed915d3ed9063765
182379,38f11216-add7-471f-a299-2a7708260c13,5a7b4bc4e5274a34770eabc4
182380,f7d96642-54fb-4181-9c84-5bf86ef0ba2f,5a7a3d02ed915d1fb3cd66fc
182380,f7d96642-54fb-4181-9c84-5bf86ef0ba2f,5a7a3d03e5274a319e778d5d
811068,5209abd9-4d99-4fbf-8e50-f48a5e09b832,5d0cea9640f0b62006e1f4ee
811071,daa05e18-6bbf-425b-ac3f-3aab8216e467,5d0ceb5c40f0b6200c3f680c
811072,6d31f15b-1fc5-4fb1-ba9a-b669e1862563,5d0ceb89e5274a06930754e0
868529,884854e6-34c4-4102-88b5-6c8322cee596,5e566876d3bf7f06f2e953a9
868529,884854e6-34c4-4102-88b5-6c8322cee596,5e56687686650c53b5812795
826074,b1fe8783-2cce-461e-b5ca-499fb20b76ee,5d5aa02ce5274a07bb51b807
826075,7a01f8e7-43d0-4254-93b9-9781e3c6ba62,5d5aa061ed915d08d2549827
826076,b1d4182c-f3d9-4945-bc90-286e46b2ef2c,5d5aa08f40f0b67064c5ead9
372133,89cada28-ed44-4f8e-b3da-e2f71ebe65d8,5a7ee674ed915d74e62272c5
372134,3eca7700-a8ad-4567-af83-942bff9cc1ce,5a7e495d40f0b62305b82040
372134,3eca7700-a8ad-4567-af83-942bff9cc1ce,5a7e495f40f0b62305b82041
803736,a5835001-ff20-4eeb-a3dd-603b5ea7656a,5ce677ee40f0b620982af598
803736,a5835001-ff20-4eeb-a3dd-603b5ea7656a,5ce677ee40f0b6209c331041
932825,be2a1465-fb58-45e4-adb3-da1174a2cc38,5fa2da70e90e070414efa0dd
932825,be2a1465-fb58-45e4-adb3-da1174a2cc38,5fa2da6f8fa8f578915c569d
643170,f053306a-7ec6-4401-849d-2186034a807b,5a748f2bed915d0e8e3992af
643170,f053306a-7ec6-4401-849d-2186034a807b,5a748f2b40f0b61938c7e6cb
643171,5aff75ac-e518-4bc9-9b66-2cb99a050f79,5a756f5640f0b6360e47415d
643171,5aff75ac-e518-4bc9-9b66-2cb99a050f79,5a756f56e5274a1242c9e49b
