ignorestatus,old_url,title,summary,body,publication_type,policy_1,organisation,ignoredate,publication_date,urn,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title
new,http://www.dft.gov.uk/foi/dsa-ia003891,Car and motorcycle practical and theory tests statistics for Horsforth and Leeds,,Car and motorcycle practical and theory tests statistics for Horsforth and Leeds,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0038912,http://assets.dft.gov.uk/foi/dsa-ia0038912/dsa-ia0038912a.pdf,"Questions and answers about the practical and theory tests (PDF, 23KB)",http://assets.dft.gov.uk/foi/dsa-ia0038912/dsa-ia0038912b.pdf,"Section 21 exemption (PDF, 8KB)",http://assets.dft.gov.uk/foi/dsa-ia0038912/dsa-ia0038912c.pdf,"Section 12 exemption (PDF, 8KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003911,Car theory test candidates taking their test more than 10 times at Leeds,,The number of candidates taking their car theory test more than 10 times at Leeds,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0039112,http://assets.dft.gov.uk/foi/dsa-ia0039112/dsa-ia0039112a.pdf,"Questions and answers about candidates at Leeds (PDF, 23KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003951,Practical driving test fraud at Bradford's Heaton and Thornbury test centres,,Practical driving test fraud at Bradford's Heaton and Thornbury test centres,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0039512,http://assets.dft.gov.uk/foi/dsa-ia0039512/dsa-ia0039512a.pdf,"Questions and answers about test centres in Bradford (PDF, 23KB)",http://assets.dft.gov.uk/foi/dsa-ia0039512/dsa-ia0039512b.pdf,"Section 12 exemption (PDF, 8KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003961,Assaults on and Bribes Offered to Driving Examiners,,Assaults on and Bribes Offered to Driving Examiners,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0039612,http://assets.dft.gov.uk/foi/dsa-ia0039612/dsa-ia0039612a.pdf,"Questions and answers about driving examiners (PDF, 23KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003971,Statistics about practical car tests and ADIs,,Statistics about practical car tests and ADIs,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0039712,http://assets.dft.gov.uk/foi/dsa-ia0039712/dsa-ia0039712a.pdf,"Questions and answers about the number of practical tests and ADIs registered (PDF, 23KB)",http://assets.dft.gov.uk/foi/dsa-ia0039712/dsa-ia0039712b.pdf,"Section 21 exemption (PDF, 11KB)",http://assets.dft.gov.uk/foi/dsa-ia0039712/dsa-ia0039712c.pdf,"Copies of previous FOI responses(PDF, 22KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003981,"Practical car tests taken at Trowbridge, Westbury, Chippenham and Swindon",,"Practical car tests taken at Trowbridge, Westbury, Chippenham and Swindon",foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0039812,http://assets.dft.gov.uk/foi/dsa-ia0039812/dsa-ia0039812a.pdf,"Questions and answers about the number of practical tests (PDF, 16KB)",http://assets.dft.gov.uk/foi/dsa-ia0039812/dsa-ia0039812b.xls,"Table showing the number of tests(Excel, 45KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004011,The number of LGV category C and C+E conducted and passed since 2004/05,,The number of Large Goods Vehicle (LGV) category C and C+E conducted and passed since 2004/05 by test centre,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0040112,http://assets.dft.gov.uk/foi/dsa-ia0040112/dsa-ia0040112a.pdf,"Questions and answers about LGV tests (PDF, 11KB)",http://assets.dft.gov.uk/foi/dsa-ia0040112/dsa-ia0040112b.xls,"Table showing the number of tests (Excel, 76KB)",http://assets.dft.gov.uk/foi/dsa-ia0040112/dsa-ia0040112c.pdf,"Section 36 exemption and public interest test (PDF, 18KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004131,Attempts to pass practical car tests,,Attempts to pass practical car tests,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0041312,http://assets.dft.gov.uk/foi/dsa-ia0041312/dsa-ia0041312a.pdf,"Questions and answers about the number of attempts (PDF, 9KB)",http://assets.dft.gov.uk/foi/dsa-ia0041312/dsa-ia0041312b.pdf,"Section 21 exemption (PDF, 12)",http://assets.dft.gov.uk/foi/dsa-ia0041312/dsa-ia0041312c.pdf,"Table showing the number of attempts (PDF, 8KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004211,Test Fee Refund Policy,,Test Fee Refund Policy,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0042112,http://assets.dft.gov.uk/foi/dsa-ia0042112/dsa-ia0042112a.pdf,"Question and answers about the refund policy (PDF, 17KB)",http://assets.dft.gov.uk/foi/dsa-ia0042112/dsa-ia0042112b.pdf,"Section 21 exemption (PDF, 11KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004271,'Cheating' cases for theory and practical tests,,'Cheating' cases for theory and practical tests,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0042712,http://assets.dft.gov.uk/foi/dsa-ia0042712/dsa-ia0042712a.pdf,"Questions and answers about suspected candidates (PDF, 14KB)",http://assets.dft.gov.uk/foi/dsa-ia0042712/dsa-ia0042712b.pdf,"Section 12 exemption (PDF, 11KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia004291,The Gender and Postcode of Candidates Taking Their Theory Test More Than 10 Times in Leeds,,The Gender and Postcode of Candidates Taking Their Theory Test More Than 10 Times in Leeds,foi-releases,making-roads-safer,driving-standards-agency,2012-10-19,19-Oct-2012,ia0042912,http://assets.dft.gov.uk/foi/dsa-ia0042912/dsa-ia0042912a.pdf,"Questions and answers about candidates taking their test (PDF, 20KB)",,,,,,,,,,,,,,,,
