Producing organisation(s),First draft created,Edition states,Title,Author(s),Admin URL,Type
Department of Health,28/02/2012 10:39:00,draft,NHS modernisation and the launch of the Children and Young Peopleâs Outcomes Strategy,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2838,Speech
"Department for Environment, Food & Rural Affairs",28/02/2012 10:40:00,draft,Freeing up farming to reach its full potential,"Daniel De Cruz, Paul Cronk, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2840,NewsArticle
Ministry of Justice,28/02/2012 11:00:00,draft,Mediation to deliver a new approach to civil justice,"Nick Cammell, Jon Sanger",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2847,Speech
Ministry of Justice,28/02/2012 11:11:00,draft,Ken Clarke on the future of litigation,"Jon Sanger, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2851,Speech
Department of Health,28/02/2012 11:26:00,draft,Impact of the Health and Social Care Bill and the programme of modernisation,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2854,Speech
Ministry of Justice,28/02/2012 11:30:00,draft,New reforms to reduce reoffending,"Jon Sanger, Nick Cammell",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2855,NewsArticle
Home Office,28/02/2012 11:45:00,draft,Justice should be swift and sure,Tom Freestone,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2856,Speech
Ministry of Defence,28/02/2012 12:01:00,draft,Royal Navy Club Founder's Day dinner,"Paola Wright, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2860,Speech
Ministry of Defence,28/02/2012 12:10:00,draft,Capability (Ground Manoeuvre) Industry Day,"Paola Wright, Emily da Costa, Sheurie Warner, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2864,Speech
"Department for Business, Innovation & Skills",28/02/2012 12:12:00,draft,Best of British manufacturing,Neil Williams,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2865,NewsArticle
Ministry of Defence,28/02/2012 12:15:00,draft,Armed Forces Parliamentary Scheme,"Paola Wright, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2868,Speech
Department for International Development,28/02/2012 12:18:00,draft,Improving disaster resilience in developing countries,"Peter Lamb, Marisol Grandon, Louise Stone, Donna Forsyth, Tara Stockford",https://whitehall-admin.production.alphagov.co.uk/government/admin/policies/2871,Policy
Department for International Development,28/02/2012 12:20:00,draft,UK's fight against corruption boosts world's poorest people,"Robin Riley, Paul Cronk, Peter Lamb",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2873,NewsArticle
Department for International Development,28/02/2012 12:23:00,draft,Helping developing countries deal with the effects of climate change,"Peter Lamb, Julia Chandler, Marisol Grandon, Donna Forsyth, Tara Stockford",https://whitehall-admin.production.alphagov.co.uk/government/admin/policies/2875,Policy
Ministry of Defence,28/02/2012 12:26:00,draft,Sultan [of Oman]âs Armed Forces Association annual dinner,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2878,Speech
Department for International Development,28/02/2012 12:36:00,draft,Somalia: Aid for refugees who fled famine and fighting,"Peter Lamb, Paul Cronk, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2880,NewsArticle
Department for International Development,28/02/2012 12:44:00,draft,New contraception drive will save women's lives,"PLamb, Peter Lamb, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2885,NewsArticle
Department of Health,28/02/2012 13:07:00,draft,Health and Social Care Bill explained,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2891,NewsArticle
Foreign & Commonwealth Office,28/02/2012 13:34:00,draft,Vice Consul to visit Benidorm for road show,Ben Giddings,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2893,NewsArticle
Department for International Development,28/02/2012 13:46:00,draft,Introducing full transparency in UK aid spending,"Julia Chandler, Frances Sibbet, Peter Lamb, Alan Maddrell, Beck Thompson, Emily da Costa, Bruce Mackay, Tara Stockford, Sarah Richards",https://whitehall-admin.production.alphagov.co.uk/government/admin/policies/2895,Policy
"Department for Environment, Food & Rural Affairs",28/02/2012 13:49:00,draft,Richard Benyonâs speech at the Green Infrastructure Partnership launch,"Daniel De Cruz, Alan Maddrell, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2898,Speech
"Department for Business, Innovation & Skills",28/02/2012 13:53:00,draft,Qualifications achieved by the over 16s,"Suzanne Amos, Emily da Costa, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2901,Publication
HM Treasury,28/02/2012 13:53:00,draft,London is ready for the 2012 Olympic Games,"Ben Giddings, Ross Ferguson, Nick Cammell",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2900,Speech
"Department for Business, Innovation & Skills",28/02/2012 13:58:00,draft,"Staff satisfaction survey - Department for Business, Innovation and Skills","Suzanne Amos, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2905,Publication
"Department for Business, Innovation & Skills",28/02/2012 13:59:00,draft,Disruption of package holidays,"Suzanne Amos, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2909,Publication
"Department for Business, Innovation & Skills",28/02/2012 14:00:00,draft,Our Hi-Tech Future,Neil Williams,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2911,Speech
"Department for Business, Innovation & Skills",28/02/2012 14:01:00,draft,"Reforming the Department for Business, Innovation and Skills","Suzanne Amos, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2912,Publication
Ministry of Justice,28/02/2012 14:02:00,draft,Do we need a UK Bill of Rights?,"Tom Freestone, Nick Cammell",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2914,Publication
"Department for Business, Innovation & Skills",28/02/2012 14:06:00,draft,"Providing Protection, Supporting Growth",Neil Williams,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2917,Speech
"Department for Business, Innovation & Skills",28/02/2012 14:08:00,draft,Science and research funding,"Suzanne Amos, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2919,Publication
"Department for Environment, Food & Rural Affairs",28/02/2012 14:08:00,draft,The governmentâs response to Sir Michael Pitts review of the summer 2007 floods â final progress report,"Daniel De Cruz, Jon Sanger",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2920,Publication
Ministry of Defence,28/02/2012 14:14:00,draft,Body armour saves British soldier from Taliban bullet,"Paola Wright, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2922,NewsArticle
"Department for Environment, Food & Rural Affairs",28/02/2012 14:16:00,draft,ON HOLD (TOO LONG) - The Water Act 2003: withdrawal of compensation on the grounds of serious damage,"Daniel De Cruz, Tara Stockford",https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/2924,Consultation
Department of Health,28/02/2012 14:21:00,draft,Key policy areas in the Health and Social Care Bill,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2925,Publication
Department of Health,28/02/2012 14:25:00,draft,SOLACE Annual Charity Dinner,Neil Williams,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2928,Speech
Department of Health,28/02/2012 14:30:00,draft,Cross-cutting themes of the Health and Social Care Bill,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2932,Publication
"Department for Business, Innovation & Skills",28/02/2012 14:41:00,draft,Improving industry regulators: code of practice,"Suzanne Amos, Alan Maddrell, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2935,Publication
Ministry of Defence,28/02/2012 14:54:00,draft,Afghan and British forces seize Taliban anti-tank weapon,"Paola Wright, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2941,NewsArticle
Ministry of Justice,28/02/2012 14:54:00,draft,Minister opens new help centre for victims,Jon Sanger,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2942,NewsArticle
Department of Health,28/02/2012 15:06:00,draft,Commissioning for the NHS,Neil Williams,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2946,Speech
Department of Health,28/02/2012 15:10:00,draft,New Savoy Partnership Annual Conference,Neil Williams,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2948,Speech
"Department for Business, Innovation & Skills",28/02/2012 15:16:00,draft,£1 billion growth fund open for business,"Neil Williams, Suzanne Amos",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2950,NewsArticle
Ministry of Defence,28/02/2012 15:43:00,draft,New play parks for RAF kids,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2962,NewsArticle
Ministry of Defence,28/02/2012 15:49:00,draft,Bulletproof balls deliver fuel to front line,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2964,NewsArticle
HM Revenue & Customs,28/02/2012 16:00:00,draft,HM Revenue & Customs: Your Charter,Robin Riley,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2968,Publication
HM Revenue & Customs,28/02/2012 16:13:00,draft,20 million smuggled cigarettes not child's play,"Neil Williams, Robin Riley",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2971,NewsArticle
"Department for Environment, Food & Rural Affairs",28/02/2012 17:16:00,draft,Green Infrastructure Partnership launch,Neil Williams,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2979,Speech
"Department for Business, Innovation & Skills",28/02/2012 17:19:00,draft,Industrial strategy: Next steps,Neil Williams,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2980,Speech
"Department for Business, Innovation & Skills",28/02/2012 17:31:00,draft,Manufacturing Summit 2012,"Simon Cunnington, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2983,Speech
Department of Health,28/02/2012 17:48:00,draft,Acting FAST can save hundreds of lives,"Robert Rockstroh, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2987,NewsArticle
"Department for Environment, Food & Rural Affairs",28/02/2012 17:48:00,draft,Can the agriculture sector in the UK and Western Europe remain viable in a changing global environment?,Neil Williams,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2986,Speech
"Department for Business, Innovation & Skills",28/02/2012 18:01:00,draft,Changing the way we fund colleges and universities,"Suzanne Amos, Tara Stockford, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/2989,Consultation
Department of Health,28/02/2012 18:05:00,draft,Caring for people at the end of their life,"Robert Rockstroh, Tara Stockford, Sarah Richards, Alan Maddrell",https://whitehall-admin.production.alphagov.co.uk/government/admin/policies/2990,Policy
"Department for Business, Innovation & Skills; Department for Environment, Food & Rural Affairs",28/02/2012 18:11:00,draft,Pick of the crop could earn fewer farm inspections,"Suzanne Amos, Nick Cammell",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2994,NewsArticle
"Department for Culture, Media & Sport; Department for Environment, Food & Rural Affairs",28/02/2012 18:17:00,draft,Government sets hospitality food and drink businesses free from regulation,"Suzanne Amos, Nick Cammell",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2999,NewsArticle
