policies_to_remove,policies_to_add,slug
5e11d7d1-7631-11e4-a3cb-005056011aef,,section-251-administrative-direction
5e11d7d1-7631-11e4-a3cb-005056011aef,,nicky-morgan-asks-business-leaders-to-join-the-schools-revolution
5e11d7d1-7631-11e4-a3cb-005056011aef,,maths-entries-jump-at-a-level-as-pupils-embrace-academic-subjects
5e11d7d1-7631-11e4-a3cb-005056011aef,,parents-to-receive-more-help-choosing-secondary-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,,new-reforms-to-raise-standards-and-improve-behaviour
5e11d7d1-7631-11e4-a3cb-005056011aef,,consultation-on-promoting-british-values-in-school
5e11d7d1-7631-11e4-a3cb-005056011aef,,new-government-drive-to-improve-standards-of-school-governance
5e11d7d1-7631-11e4-a3cb-005056011aef,,parents-given-power-of-veto-on-schools-use-of-biometric-information
5e11d7d1-7631-11e4-a3cb-005056011aef,,school-level-and-la-level-finance-data-from-1999-to-2012
5e11d7d1-7631-11e4-a3cb-005056011aef,,how-can-we-encourage-good-schools-to-expand
5e11d7d1-7631-11e4-a3cb-005056011aef,,investigating-the-school-improvement-needs-and-practices-of-london-primary-and-secondary-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,,outward-facing-schools-the-sinnott-fellowship
5e11d7d1-7631-11e4-a3cb-005056011aef,,education-skills-and-childrens-services-interoperability-review
5e11d7d1-7631-11e4-a3cb-005056011aef,,nick-gibb-to-the-grammar-school-heads-association
5e11d7d1-7631-11e4-a3cb-005056011aef,,michael-gove-to-ofqual-standards-summit
5e11d7d1-7631-11e4-a3cb-005056011aef,,michael-gove-to-the-durand-academy
5e11d7d1-7631-11e4-a3cb-005056011aef,,nick-gibbs-speech-to-reform-aqa-conference
5e11d7d1-7631-11e4-a3cb-005056011aef,,lord-hill-to-the-national-governors-association-school-improvement-conference
5e11d7d1-7631-11e4-a3cb-005056011aef,,constitution-of-governing-bodies-of-maintained-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,,school-governance-federation-regulations-2007
5e11d7d1-7631-11e4-a3cb-005056011aef,,school-governance-constitution-regulations-2007
5e11d7d1-7631-11e4-a3cb-005056011aef,,school-governance-collaboration-regulations-2003
5e11d7d1-7631-11e4-a3cb-005056011aef,,financial-management-and-governance-review-emlc-academy-trust
5e11d7d1-7631-11e4-a3cb-005056011aef,,financial-management-and-governance-review-leverton-church-of-england-academy
5e11d7d1-7631-11e4-a3cb-005056011aef,,investigation-report-cuckoo-hall-academies-trust
5e11d7d1-7631-11e4-a3cb-005056011aef,,investigation-report-park-view-educational-trust
5e11d7d1-7631-11e4-a3cb-005056011aef,,section-251-outturn-2013-to-2014-data
5e11d7d1-7631-11e4-a3cb-005056011aef,,financial-management-and-governance-review-sawtry-community-college
5e11d7d1-7631-11e4-a3cb-005056011aef,,academies-finance-and-assurance-steering-group-minutes-june-2014
5e11d7d1-7631-11e4-a3cb-005056011aef,,section-251-budget-workbooks-2014-to-2015
5e11d7d1-7631-11e4-a3cb-005056011aef,,investigation-report-e-act
5e11d7d1-7631-11e4-a3cb-005056011aef,,investigation-report-phoenix-family-of-schools-academy-trust
5e11d7d1-7631-11e4-a3cb-005056011aef,,review-of-the-use-of-academy-funding-and-internal-control-barnsley-academy
5e11d7d1-7631-11e4-a3cb-005056011aef,,financial-management-and-governance-review-westfield-academy
5e11d7d1-7631-11e4-a3cb-005056011aef,,financial-management-and-governance-review-phoenix-family-of-schools-academy-trust
5e11d7d1-7631-11e4-a3cb-005056011aef,,review-of-governance-oldfield-academy-trust
5e11d7d1-7631-11e4-a3cb-005056011aef,,review-of-financial-propriety-management-and-governance-lymm-high-school-academy-trust
5e11d7d1-7631-11e4-a3cb-005056011aef,,review-of-oldknow-academy-trust
5e11d7d1-7631-11e4-a3cb-005056011aef,,review-of-park-view-educational-trust
5e11d7d1-7631-11e4-a3cb-005056011aef,,financial-mangement-and-governance-review-the-education-fellowship-trust
5e11d7d1-7631-11e4-a3cb-005056011aef,,financial-management-and-governance-review-guru-nanak-sikh-academy-ltd
5e11d7d1-7631-11e4-a3cb-005056011aef,,investigation-report-the-bilingual-primary-school-brighton-and-hove
5e11d7d1-7631-11e4-a3cb-005056011aef,,investigation-report-the-silver-birch-academy-trust
5e11d7d1-7631-11e4-a3cb-005056011aef,,financial-management-and-governance-review-barnfield-federation
5e11d7d1-7631-11e4-a3cb-005056011aef,,investigation-report-glendene-arts-academy
5e11d7d1-7631-11e4-a3cb-005056011aef,,financial-management-and-governance-review-al-madinah-education-trust
5e11d7d1-7631-11e4-a3cb-005056011aef,,investigation-report-al-madinah-free-school
5e11d7d1-7631-11e4-a3cb-005056011aef,,financial-management-and-governance-review-discovery-new-school
5e11d7d1-7631-11e4-a3cb-005056011aef,,investigation-report-kings-science-academy
5e11d7d1-7631-11e4-a3cb-005056011aef,,financial-management-and-governance-review-kings-science-academy
5e11d7d1-7631-11e4-a3cb-005056011aef,,warning-notice-kings-science-academy
5e11d7d1-7631-11e4-a3cb-005056011aef,,financial-management-and-governance-review-e-act
5e11d7d1-7631-11e4-a3cb-005056011aef,,investigation-report-quintin-kynaston-academy
5e11d7d1-7631-11e4-a3cb-005056011aef,,investigation-report-priory-federation-of-academies-trust
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,maintained-school-governing-body-constitution-regulation-changes
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,16-to-19-accountability-consultation
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,new-national-curriculum-primary-assessment-and-accountability
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,secondary-school-accountability-consultation
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,commission-on-assessment-without-levels-final-report
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,independent-review-of-key-stage-2-testing-assessment-and-accountability-final-report
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,qualifications-counting-in-future-performance-tables
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,secondary-schools-can-opt-in-to-progress-8-measures-in-2015
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,new-accountability-arrangements-for-infant-schools-from-2016
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,parents-get-more-information-about-school-performance
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,government-publishes-destination-data-for-the-first-time
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,parents-get-the-full-facts-about-every-secondary-school
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,education-bill-focuses-on-ofsted-and-ofqual-to-raise-standards
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,school-and-college-performance-tables-in-england-2012-to-2013
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,secondary-school-performance-tables-in-england-2012-to-2013
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,secondary-school-performance-tables-in-england-key-stage-4-academic-year-2011-to-2012
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,school-and-college-key-stage-5-performance-tables-in-england-academic-year-2011-to-2012
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,2012-primary-school-performance-tables
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,secondary-school-performance-tables-in-england-key-stage-4-academic-year-2010-to-2011
