base_path,status,document_id,edition_id,locale,content_store,errors
/guidance/offshore-renewable-energy-installations-impact-on-shipping,200,4297,653136,en,content-store,details body doesn't match
/guidance/export-strategic-goods-to-the-channel-islands,200,4311,48323,en,content-store,related_guides should contain '5c718a9f-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/intra-community-transfer-directive-2009-43-ec,200,4312,17250,en,content-store,related_guides should contain '5c718a9f-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/standards-for-highways-online-resources,200,4431,648549,en,draft-content-store,details body doesn't match
/guidance/standards-for-highways-online-resources,200,4431,648549,en,content-store,details body doesn't match
/guidance/arms-embargo-on-somalia,200,4447,503521,en,draft-content-store,details body doesn't match
/guidance/arms-embargo-on-somalia,200,4447,503521,en,content-store,details body doesn't match
/guidance/conflict-minerals,200,8880,207512,en,content-store,the links key 'related_guides' is not present
/guidance/motorcycle-approved-training-body-atb-manual,200,8888,651328,en,draft-content-store,details body doesn't match
/guidance/motorcycle-approved-training-body-atb-manual,200,8888,651328,en,content-store,details body doesn't match
/guidance/driving-tests-rules-for-using-your-own-site,200,9180,654043,en,draft-content-store,details body doesn't match
/guidance/erdf-national-guidance,200,9183,570749,en,content-store,related_guides should contain '5c802629-7631-11e4-a3cb-005056011aef' but doesn't,related_guides should contain '5d6463b3-7631-11e4-a3cb-005056011aef' but doesn't,related_guides should contain '5c838c04-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/understanding-the-regional-growth-fund,200,10116,648838,en,draft-content-store,details body doesn't match
/guidance/understanding-the-regional-growth-fund,200,10116,648838,en,content-store,details body doesn't match
/guidance/embargoes-and-sanctions-on-azerbaijan,200,10200,503472,en,draft-content-store,details body doesn't match
/guidance/embargoes-and-sanctions-on-azerbaijan,200,10200,503472,en,content-store,details body doesn't match
/guidance/oil-and-gas-licensing-rounds,200,10302,654392,en,draft-content-store,details body doesn't match
/guidance/oil-and-gas-licensing-rounds,200,10302,654392,en,content-store,details body doesn't match
/guidance/oil-and-gas-licence-relinquishments,200,10307,653040,en,draft-content-store,details body doesn't match
/guidance/oil-and-gas-licence-relinquishments,200,10307,653040,en,content-store,details body doesn't match
/guidance/previous-erdf-programmes-retaining-documents,200,10342,556031,en,content-store,related_guides should contain '5c802629-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/oil-and-gas-infrastructure,200,10440,654129,en,draft-content-store,details body doesn't match
/guidance/oil-and-gas-infrastructure,200,10440,654129,en,content-store,details body doesn't match
/guidance/oil-and-gas-ospar-ems-recommendation,200,10475,652634,en,draft-content-store,details body doesn't match
/guidance/oil-and-gas-ospar-ems-recommendation,200,10475,652634,en,content-store,details body doesn't match
/guidance/oil-and-gas-environmental-data,200,10483,652045,en,draft-content-store,details body doesn't match
/guidance/oil-and-gas-environmental-data,200,10483,652045,en,content-store,details body doesn't match
/guidance/oil-and-gas-operatorship,200,10488,647316,en,draft-content-store,details body doesn't match
/guidance/oil-and-gas-operatorship,200,10488,647316,en,content-store,details body doesn't match
/guidance/oil-and-gas-digital-data-exchange-format,200,10542,653559,en,draft-content-store,details body doesn't match
/guidance/oil-and-gas-digital-data-exchange-format,200,10542,653559,en,content-store,details body doesn't match
/guidance/state-aid,200,10601,651468,en,draft-content-store,details body doesn't match
/guidance/state-aid,200,10601,651468,en,content-store,details body doesn't match
/guidance/oil-and-gas-uk-field-data,200,10616,649364,en,draft-content-store,details body doesn't match
/guidance/oil-and-gas-uk-field-data,200,10616,649364,en,content-store,details body doesn't match
/guidance/european-commission-product-directives,200,10649,653334,en,draft-content-store,details body doesn't match
/guidance/uk-defence-standardization,200,10781,427857,en,draft-content-store,details body doesn't match
/guidance/uk-defence-standardization,200,10781,427857,en,content-store,details body doesn't match
/guidance/armed-forces-criminal-legal-aid-authority-afclaa,200,11671,647291,en,draft-content-store,"expected title: 'Armed Forces Criminal Legal Aid Authority', got 'Armed Forces Criminal Legal Aid Authority (AFCLAA)'","expected description: 'How AFCLAA manages civilian criminal legal representation for all eligible service personnel and civilians; and how to apply for assistance.', got 'Managing civilian criminal legal representation for all eligible service personnel and civilians'",details body doesn't match
/guidance/armed-forces-criminal-legal-aid-authority-afclaa,200,11671,647291,en,content-store,"expected title: 'Armed Forces Criminal Legal Aid Authority', got 'Armed Forces Criminal Legal Aid Authority (AFCLAA)'","expected description: 'How AFCLAA manages civilian criminal legal representation for all eligible service personnel and civilians; and how to apply for assistance.', got 'Managing civilian criminal legal representation for all eligible service personnel and civilians'",details body doesn't match
/guidance/chevening-scholarships-for-students-from-overseas,200,21503,436005,en,draft-content-store,"expected description: 'Chevening Scholarships are one-year Masters’ degrees for graduates from eligible countries who could be future leaders. Find out about eligibility and how to apply.', got 'Chevening Scholarships are one-year Masters’ degrees for graduates from anywhere in the world who could be future leaders: find out how to apply.'",details body doesn't match
/guidance/chevening-scholarships-for-students-from-overseas,200,21503,436005,en,content-store,"expected description: 'Chevening Scholarships are one-year Masters’ degrees for graduates from eligible countries who could be future leaders. Find out about eligibility and how to apply.', got 'Chevening Scholarships are one-year Masters’ degrees for graduates from anywhere in the world who could be future leaders: find out how to apply.'",organisations should contain '740574ed-f753-4c56-9f2e-3176520d65a2' but doesn't,details body doesn't match
/guidance/pensions-and-compensation-for-veterans,200,21504,620517,en,draft-content-store,details body doesn't match
/guidance/pensions-and-compensation-for-veterans,200,21504,620517,en,content-store,details body doesn't match
/guidance/lorem-ipsum-dolor-sit-amet-elit-25559,200,25559,651258,en,draft-content-store,details body doesn't match
/guidance/lorem-ipsum-dolor-sit-amet-elit-25559,200,25559,651258,en,content-store,details body doesn't match
/guidance/ministry-of-defence-byelaws,200,28608,648240,en,draft-content-store,details body doesn't match
/guidance/ministry-of-defence-byelaws,200,28608,648240,en,content-store,details body doesn't match
/guidance/uk-national-contact-point-for-the-organisation-for-economic-co-operation-and-development-oecd-guidelines-for-multinational-enterprises,200,32581,649022,en,draft-content-store,details body doesn't match
/guidance/uk-national-contact-point-for-the-organisation-for-economic-co-operation-and-development-oecd-guidelines-for-multinational-enterprises,200,32581,649022,en,content-store,organisations should contain '082092f1-656c-470e-b024-229dc6e750e9' but doesn't,organisations shouldn't contain '2bde479a-97f2-42b5-986a-287a623c2a1c',details body doesn't match
/guidance/defence-intelligence-services,200,32584,352786,en,content-store,the links key 'related_guides' is not present
/guidance/security-vetting-and-clearance,200,35031,653371,en,draft-content-store,details body doesn't match
/guidance/security-vetting-and-clearance,200,35031,653371,en,content-store,details body doesn't match
